Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Track Duration (ms)
In the Name of Love,"Martin Garrix, Bebe Rexha",In the Name of Love,"Martin Garrix, Bebe Rexha",2016-07-29,https://i.scdn.co/image/ab67616d0000b2738c77bcf5f5a227d270d23370,195706
People You Know,Selena Gomez,Rare,Selena Gomez,2020-01-10,https://i.scdn.co/image/ab67616d0000b2732abcc266597eb46f897a8666,194900
Scars To Your Beautiful,Alessia Cara,Know-It-All,Alessia Cara,2015-11-13,https://i.scdn.co/image/ab67616d0000b273d7ef1ffbd2a5821152f35ce1,230240
Sucker,Jonas Brothers,Happiness Begins,Jonas Brothers,2019-06-07,https://i.scdn.co/image/ab67616d0000b273de1a3a5eaa0c75bb18e7b597,181026
Say You Won t Let Go,James Arthur,Back from the Edge,James Arthur,2016-10-28,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,211466
Chuck Taylor,"Connor Price, SIRI",Spin The Globe,Connor Price,2023-01-27,https://i.scdn.co/image/ab67616d0000b27348113e42e6364509694507d2,138027
Underdog,Connor Price,Underdog,Connor Price,2023-10-06,https://i.scdn.co/image/ab67616d0000b273fbf611daea334b2e600d1bbb,143406
Lover (Remix) [feat. Shawn Mendes],"Taylor Swift, Shawn Mendes",Lover (Remix) [feat. Shawn Mendes],"Taylor Swift, Shawn Mendes",2019-11-13,https://i.scdn.co/image/ab67616d0000b27359457bdb1edb5c6417f3baa2,221306
Kill This Love,BLACKPINK,KILL THIS LOVE,BLACKPINK,2019-04-05,https://i.scdn.co/image/ab67616d0000b2735dcded478bd1a908dbabf05e,189052
Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",7/27 (Deluxe),Fifth Harmony,2016-05-27,https://i.scdn.co/image/ab67616d0000b273d03fa6f4e758282b7920b5c8,214480
Havana (feat. Young Thug),"Camila Cabello, Young Thug",Camila,Camila Cabello,2018-01-12,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4,217306
Treat You Better,Shawn Mendes,Illuminate,Shawn Mendes,2017-04-20,https://i.scdn.co/image/ab67616d0000b2731376b4b16f4bfcba02dc571b,187973
Locked Away (feat. Adam Levine),"R. City, Adam Levine",What Dreams Are Made Of,R. City,2015-10-09,https://i.scdn.co/image/ab67616d0000b2739519b1a9e2b552407e65b01a,227480
Problems,ilyaugust,Problems,ilyaugust,2023-09-08,https://i.scdn.co/image/ab67616d0000b273b5f70caf69a34c587a9628ba,133333
Midnight Rain,Taylor Swift,Midnights,Taylor Swift,2022-10-21,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,174782
Nonsense,Sabrina Carpenter,emails i can t send,Sabrina Carpenter,2022-07-15,https://i.scdn.co/image/ab67616d0000b273700f7bf79c9f063ad0362bdf,163648
